Year,Month,DayofMonth,DayOfWeek,UniqueCarrier,TailNum,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,TaxiOut,TaxiIn,CRSArrTime,ArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Weekday,ArrDelay_positive,ArrDelay_log,DecimalDepTime,speed
2019,5,30,4,OO,N875AS,3894,ATL,ROA,1216,1231.0,15.0,11.0,4.0,1342,1343.0,1.0,0.0,,0.0,86.0,72.0,57.0,357.0,,,,,,Thursday,1.0,0.6931471805599453,12.266666666666667,375.7894736842105
2019,12,5,4,WN,N489WN,785,PVD,DCA,1640,1638.0,-2.0,8.0,4.0,1825,1800.0,-25.0,0.0,,0.0,105.0,82.0,70.0,356.0,,,,,,Thursday,0.0,0.0,16.666666666666668,305.1428571428571
2019,3,24,7,AA,N916AN,1003,STL,ORD,742,735.0,-7.0,10.0,14.0,910,850.0,-20.0,0.0,,0.0,88.0,75.0,51.0,258.0,,,,,,Sunday,0.0,0.0,7.7,303.52941176470586
2019,12,27,5,WN,N244WN,543,FLL,ISP,1225,1245.0,20.0,26.0,4.0,1515,1534.0,19.0,0.0,,0.0,170.0,169.0,139.0,1092.0,7.0,0.0,0.0,0.0,12.0,Friday,19.0,2.995732273553991,12.416666666666666,471.36690647482015
2019,7,6,6,AA,N861NN,1980,ATL,ORD,600,556.0,-4.0,15.0,6.0,716,650.0,-26.0,0.0,,0.0,136.0,114.0,93.0,606.0,,,,,,Saturday,0.0,0.0,6.0,390.9677419354839
2019,4,21,7,OH,N558NN,5511,DCA,MSY,830,826.0,-4.0,15.0,2.0,1024,954.0,-30.0,0.0,,0.0,174.0,148.0,131.0,969.0,,,,,,Sunday,0.0,0.0,8.5,443.8167938931298
2019,3,18,1,MQ,N681AE,3941,CHS,MIA,1039,1034.0,-5.0,28.0,6.0,1220,1223.0,3.0,0.0,,0.0,101.0,109.0,75.0,489.0,,,,,,Monday,3.0,1.3862943611198906,10.65,391.2
2019,3,13,3,YV,N87345,6274,IAH,PSP,1206,1222.0,16.0,25.0,6.0,1345,1414.0,29.0,0.0,,0.0,219.0,232.0,201.0,1269.0,29.0,0.0,0.0,0.0,0.0,Wednesday,29.0,3.4011973816621555,12.1,378.80597014925377
2019,1,20,7,WN,N8658A,3659,MKE,ATL,1000,957.0,-3.0,17.0,5.0,1305,1258.0,-7.0,0.0,,0.0,125.0,121.0,99.0,669.0,,,,,,Sunday,0.0,0.0,10.0,405.4545454545455
2019,10,23,3,AA,N315PE,2420,ABQ,DFW,1040,1034.0,-6.0,17.0,15.0,1326,1323.0,-3.0,0.0,,0.0,106.0,109.0,77.0,569.0,,,,,,Wednesday,0.0,0.0,10.666666666666666,443.37662337662334
